	num_unique_subclones	mean_apparent_ccf	mean_true_ccfs	mean_diff	ccf_diff_higher_true	ccf_diff_lower_true	ks_pval	ks_stat	sp_pval	sp_rho	mean_fit	max_fit	prop_total_subclones	num_clones_over_0.01	mean_fit_over_0.01	max_fit_over_0.01	prop_total_subclones_over_0.01	prop_over0.01_subclones_over_0.01	ITH	ITH_over_0.01	n_clonal	n_subclonal	n_subclonal_over_0.01
113273	1191	0.00502422286243232	0.00502572147621292	7.96449988453422e-05	0.000106872075165878	-6.31407201021841e-05	0.63120117738309	0.107355442176871	0	0.942089436260417	19.6559478111856	51.5687577254685	0.580409356725146	32	15.6679154131485	28.5636178418783	0.0155945419103314	0.96969696969697	647	23	4	2588	92
113273	1195	0.00501419307608779	0.00501026930061345	0.000100570223841386	0.000124643236981304	-8.55429465431031e-05	0.547423237970563	0.116169544740973	0	0.931308124156907	19.5308797500036	51.5687577254685	0.582358674463938	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	649	21.75	4	2596	87
113273	1225	0.00491631906540042	0.00490864295004382	9.5820716693315e-05	0.000119111900177006	-8.2338307032517e-05	0.987148594416164	0.0640816326530613	0	0.944268901366176	19.5841873642843	51.5687577254685	0.596978557504873	34	15.5682335468072	28.5636178418783	0.0165692007797271	1.03030303030303	662.5	24	4	2650	96
113273	1205	0.00498936563414285	0.00498739956527259	7.87132740026585e-05	0.00010375967898852	-6.41700498124442e-05	0.886055952309971	0.0828571428571429	0	0.9396129358549	19.7048514323078	51.5687577254685	0.587231968810916	34	15.8012332796371	28.5636178418783	0.0165692007797271	1.03030303030303	652	24	4	2608	96
113273	1209	0.00497224135426559	0.00497414640575569	9.94203937212915e-05	0.000138214240108667	-7.71579097593608e-05	0.802985791489466	0.0918367346938775	0	0.937839341485092	19.6468270467509	51.5687577254685	0.589181286549708	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	653.75	23.5	4	2615	94
113273	1184	0.00507423518368766	0.00507063888894	9.49646759208381e-05	0.000115514454347384	-8.17311599894713e-05	0.591947611373889	0.109591836734694	0	0.937527092717017	19.6838700280773	51.5687577254685	0.576998050682261	34	15.7729483847961	28.5636178418783	0.0165692007797271	1.03030303030303	641.25	24	4	2565	96
113273	1220	0.00491124757875179	0.00490491002137469	8.20832131883962e-05	9.8041160738207e-05	-7.22157338935916e-05	0.673525461156758	0.105180533751962	0	0.93687461915367	19.4627100167031	51.5687577254685	0.594541910331384	31	16.0621524144926	28.5636178418783	0.0151072124756335	0.939393939393939	663	21.75	4	2652	87
113273	1259	0.0048221785697924	0.00481791374762815	9.11539429610945e-05	0.000117356734582748	-7.59306477042197e-05	0.802985791489466	0.0918367346938775	0	0.932124368247766	19.6973573711066	51.5687577254685	0.6135477582846	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	675	23.5	4	2700	94
113273	1205	0.00498346952072455	0.00498170206750258	8.45718592136394e-05	0.000113725589111452	-6.80462031401839e-05	0.823465379900797	0.0903486394557823	0	0.9371331605154	19.5054021225817	51.5687577254685	0.587231968810916	32	15.9533923403445	28.5636178418783	0.0155945419103314	0.96969696969697	652.75	23	4	2611	92
113273	1207	0.00498026232466787	0.00498155235497338	8.49492878315461e-05	0.000119573603885691	-6.55782249492123e-05	0.764051722288161	0.096664472240509	0	0.938785493560678	19.5487905371978	51.5687577254685	0.588206627680312	32	15.8324135715632	28.5636178418783	0.0155945419103314	0.96969696969697	652.75	22.25	4	2611	89
