new_column	ID	ParentID	second_parent	third_parent	fourth_parent	fifth_parent	sixth_parent	seventh_parent	drivers_ID	uniq_subclones_per_driver	drivers_CCF_true
536_237_0_0_0_0_0_0	536	237	0	0	0	0	0	0	6	5	1.40537838307202e-05
539_237_0_0_0_0_0_0	539	237	0	0	0	0	0	0	6	5	0.000132507104689647
2761_539_237_0_0_0_0_0	2761	539	237	0	0	0	0	0	7	2	2.91114093636346e-05
552_237_0_0_0_0_0_0	552	237	0	0	0	0	0	0	6	5	0.00056516287833539
1578_552_237_0_0_0_0_0	1578	552	237	0	0	0	0	0	7	2	0.000172660772777419
2199_552_237_0_0_0_0_0	2199	552	237	0	0	0	0	0	7	2	0.000302156352360484
2526_552_237_0_0_0_0_0	2526	552	237	0	0	0	0	0	7	2	4.01536680877719e-06
554_237_0_0_0_0_0_0	554	237	0	0	0	0	0	0	6	5	7.22766025579894e-05
3511_554_237_0_0_0_0_0	3511	554	237	0	0	0	0	0	7	2	1.0038417021943e-06
559_237_0_0_0_0_0_0	559	237	0	0	0	0	0	0	6	5	1.40537838307202e-05
565_237_0_0_0_0_0_0	565	237	0	0	0	0	0	0	6	5	0.0267724581975219
1156_565_237_0_0_0_0_0	1156	565	237	0	0	0	0	0	7	2	2.60998842570517e-05
1466_565_237_0_0_0_0_0	1466	565	237	0	0	0	0	0	7	2	2.0076834043886e-06
1691_565_237_0_0_0_0_0	1691	565	237	0	0	0	0	0	7	2	0.00903457531974868
10675_1691_565_237_0_0_0_0	10675	1691	565	237	0	0	0	0	8	2	0.000167641564266448
10827_1691_565_237_0_0_0_0	10827	1691	565	237	0	0	0	0	8	2	7.02689191536008e-06
10836_1691_565_237_0_0_0_0	10836	1691	565	237	0	0	0	0	8	2	2.0076834043886e-06
15053_1691_565_237_0_0_0_0	15053	1691	565	237	0	0	0	0	8	2	1.0038417021943e-06
16008_1691_565_237_0_0_0_0	16008	1691	565	237	0	0	0	0	8	2	2.0076834043886e-06
4763_1691_565_237_0_0_0_0	4763	1691	565	237	0	0	0	0	8	2	0.000136522471498424
6340_1691_565_237_0_0_0_0	6340	1691	565	237	0	0	0	0	8	2	2.10806757460802e-05
7423_1691_565_237_0_0_0_0	7423	1691	565	237	0	0	0	0	8	2	3.01152510658289e-06
9084_1691_565_237_0_0_0_0	9084	1691	565	237	0	0	0	0	8	2	2.0076834043886e-06
9951_1691_565_237_0_0_0_0	9951	1691	565	237	0	0	0	0	8	2	2.0076834043886e-06
1728_565_237_0_0_0_0_0	1728	565	237	0	0	0	0	0	7	2	3.01152510658289e-06
1920_565_237_0_0_0_0_0	1920	565	237	0	0	0	0	0	7	2	0.00601200795444165
13346_1920_565_237_0_0_0_0	13346	1920	565	237	0	0	0	0	8	2	1.0038417021943e-06
13665_1920_565_237_0_0_0_0	13665	1920	565	237	0	0	0	0	8	2	1.0038417021943e-06
15412_1920_565_237_0_0_0_0	15412	1920	565	237	0	0	0	0	8	2	5.01920851097149e-06
19065_1920_565_237_0_0_0_0	19065	1920	565	237	0	0	0	0	8	2	1.0038417021943e-06
2200_565_237_0_0_0_0_0	2200	565	237	0	0	0	0	0	7	2	0.0106808757113473
11616_2200_565_237_0_0_0_0	11616	2200	565	237	0	0	0	0	8	2	1.0038417021943e-05
12827_2200_565_237_0_0_0_0	12827	2200	565	237	0	0	0	0	8	2	3.01152510658289e-06
17092_2200_565_237_0_0_0_0	17092	2200	565	237	0	0	0	0	8	2	4.01536680877719e-06
17387_2200_565_237_0_0_0_0	17387	2200	565	237	0	0	0	0	8	2	1.0038417021943e-06
19141_2200_565_237_0_0_0_0	19141	2200	565	237	0	0	0	0	8	2	6.02305021316579e-06
19741_2200_565_237_0_0_0_0	19741	2200	565	237	0	0	0	0	8	2	1.0038417021943e-06
2642_565_237_0_0_0_0_0	2642	565	237	0	0	0	0	0	7	2	1.0038417021943e-06
2951_565_237_0_0_0_0_0	2951	565	237	0	0	0	0	0	7	2	5.01920851097149e-06
3846_565_237_0_0_0_0_0	3846	565	237	0	0	0	0	0	7	2	2.0076834043886e-05
4648_565_237_0_0_0_0_0	4648	565	237	0	0	0	0	0	7	2	3.01152510658289e-06
8823_565_237_0_0_0_0_0	8823	565	237	0	0	0	0	0	7	2	2.0076834043886e-06
588_237_0_0_0_0_0_0	588	237	0	0	0	0	0	0	6	5	4.01536680877719e-06
591_237_0_0_0_0_0_0	591	237	0	0	0	0	0	0	6	5	1.40537838307202e-05
3228_591_237_0_0_0_0_0	3228	591	237	0	0	0	0	0	7	2	3.01152510658289e-06
594_237_0_0_0_0_0_0	594	237	0	0	0	0	0	0	6	5	2.81075676614403e-05
606_237_0_0_0_0_0_0	606	237	0	0	0	0	0	0	6	5	0.0538269959133604
1079_606_237_0_0_0_0_0	1079	606	237	0	0	0	0	0	7	2	2.0076834043886e-06
1194_606_237_0_0_0_0_0	1194	606	237	0	0	0	0	0	7	2	1.60614672351088e-05
1316_606_237_0_0_0_0_0	1316	606	237	0	0	0	0	0	7	2	1.0038417021943e-05
1321_606_237_0_0_0_0_0	1321	606	237	0	0	0	0	0	7	2	0.0469968569716304
11986_1321_606_237_0_0_0_0	11986	1321	606	237	0	0	0	0	8	2	1.0038417021943e-06
12255_1321_606_237_0_0_0_0	12255	1321	606	237	0	0	0	0	8	2	2.0076834043886e-06
17979_1321_606_237_0_0_0_0	17979	1321	606	237	0	0	0	0	8	2	4.01536680877719e-06
3648_1321_606_237_0_0_0_0	3648	1321	606	237	0	0	0	0	8	2	0.0419214333253361
10837_3648_1321_606_237_0_0_0	10837	3648	1321	606	237	0	0	0	9	2	0.000738827492815003
10958_3648_1321_606_237_0_0_0	10958	3648	1321	606	237	0	0	0	9	2	0.00905766367889915
21545_10958_3648_1321_606_237_0_0	21545	10958	3648	1321	606	237	0	0	10	2	5.82228187272693e-05
24293_10958_3648_1321_606_237_0_0	24293	10958	3648	1321	606	237	0	0	10	2	1.20461004263316e-05
24630_10958_3648_1321_606_237_0_0	24630	10958	3648	1321	606	237	0	0	10	2	2.0076834043886e-06
29963_10958_3648_1321_606_237_0_0	29963	10958	3648	1321	606	237	0	0	10	2	8.03073361755438e-06
30381_10958_3648_1321_606_237_0_0	30381	10958	3648	1321	606	237	0	0	10	2	1.0038417021943e-06
32804_10958_3648_1321_606_237_0_0	32804	10958	3648	1321	606	237	0	0	10	2	2.0076834043886e-06
11078_3648_1321_606_237_0_0_0	11078	3648	1321	606	237	0	0	0	9	2	0.000165633880862059
11462_3648_1321_606_237_0_0_0	11462	3648	1321	606	237	0	0	0	9	2	0.000359375329385559
12374_3648_1321_606_237_0_0_0	12374	3648	1321	606	237	0	0	0	9	2	4.61767183009377e-05
12721_3648_1321_606_237_0_0_0	12721	3648	1321	606	237	0	0	0	9	2	0.00149070492775853
12892_3648_1321_606_237_0_0_0	12892	3648	1321	606	237	0	0	0	9	2	6.62535523448236e-05
12925_3648_1321_606_237_0_0_0	12925	3648	1321	606	237	0	0	0	9	2	4.51728765987434e-05
13044_3648_1321_606_237_0_0_0	13044	3648	1321	606	237	0	0	0	9	2	0.00278465688188698
13276_3648_1321_606_237_0_0_0	13276	3648	1321	606	237	0	0	0	9	2	0.00070068150813162
13651_3648_1321_606_237_0_0_0	13651	3648	1321	606	237	0	0	0	9	2	4.81844017053263e-05
13844_3648_1321_606_237_0_0_0	13844	3648	1321	606	237	0	0	0	9	2	0.000127487896178676
14381_3648_1321_606_237_0_0_0	14381	3648	1321	606	237	0	0	0	9	2	5.92266604294636e-05
14513_3648_1321_606_237_0_0_0	14513	3648	1321	606	237	0	0	0	9	2	4.11575097899662e-05
14850_3648_1321_606_237_0_0_0	14850	3648	1321	606	237	0	0	0	9	2	0.000286094885125375
15428_3648_1321_606_237_0_0_0	15428	3648	1321	606	237	0	0	0	9	2	0.000319221661297787
15429_3648_1321_606_237_0_0_0	15429	3648	1321	606	237	0	0	0	9	2	0.000376440638322862
15707_3648_1321_606_237_0_0_0	15707	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
15716_3648_1321_606_237_0_0_0	15716	3648	1321	606	237	0	0	0	9	2	2.40922008526631e-05
15824_3648_1321_606_237_0_0_0	15824	3648	1321	606	237	0	0	0	9	2	5.01920851097149e-06
15874_3648_1321_606_237_0_0_0	15874	3648	1321	606	237	0	0	0	9	2	5.01920851097149e-06
15995_3648_1321_606_237_0_0_0	15995	3648	1321	606	237	0	0	0	9	2	5.01920851097149e-06
16063_3648_1321_606_237_0_0_0	16063	3648	1321	606	237	0	0	0	9	2	0.000126484054476481
24699_16063_3648_1321_606_237_0_0	24699	16063	3648	1321	606	237	0	0	10	2	6.02305021316579e-06
