ID	ParentID	Distance	Alive	Necrotic	Lost	Drivers	Passengers	Fitness	CCF	clone_order	Alive_cells_all_descendents	driver_CCF
10205	2509	1	3771	2063741	150965	8	0	20.3956313534428	0.0038	fourth	3778	0.00379251395089006
10333	1702	1	542	298496	25711	8	0	17.2856310598462	5e-04	fourth	543	0.000545086044291504
10682	1702	1	4939	3002397	210954	8	0	20.5403145318453	0.005	fourth	4945	0.0049639972173508
11993	3227	1	344	171112	14576	8	0	17.9543545734554	3e-04	fourth	346	0.000347329228959227
12631	1804	1	4744	2195083	137451	8	0	24.7484228415943	0.0048	fourth	4747	0.00476523656031633
13813	3227	1	3087	1277741	87050	8	0	23.6732199790335	0.0031	fourth	3090	0.00310187085978038
6649	2869	1	6198	4952269	372612	9	0	18.0497936801786	0.0063	fifth	6305	0.00632922193233505
8126	4232	1	7441	5402778	364522	9	0	20.4784609255768	0.0075	fifth	7464	0.00749267446517824
9285	4232	1	5669	3774587	266771	9	0	20.0165780992537	0.0057	fifth	5671	0.00569278629314386
9927	4232	1	7520	4849617	307224	9	0	22.3727815331826	0.0092	fifth	9214	0.00924939744401826
10067	4232	1	6129	3723748	244114	9	0	21.9432921713628	0.0061	fifth	6132	0.00615555731785543
10253	2869	1	26754	23042052	1113597	9	0	27.2126415405314	0.0796	fifth	79352	0.0796568467525219
10507	4232	1	13811	9663557	521198	9	0	25.5472937846449	0.0193	fifth	19245	0.0193189335587293
10958	3648	1	8940	5594924	329450	9	0	24.0922150115467	0.009	fifth	9023	0.00905766367889915
11194	4232	1	9681	6693297	404517	9	0	23.0662466268157	0.0138	fifth	13772	0.0138249079226199
11742	4232	1	1880	778920	61971	9	0	20.4358405909824	0.0019	fifth	1882	0.00188923008352967
11743	4232	1	2707	1215027	89932	9	0	21.3334180220931	0.0027	fifth	2709	0.00271940717124435
11932	2869	1	3446	1855146	137900	9	0	20.0904738040128	0.0035	fifth	3448	0.00346124618916594
12137	4232	1	18458	13968684	712171	9	0	26.4887227470043	0.0269	fifth	26799	0.026901953777105
12138	7500	1	4864	2708016	183105	9	0	21.7671802651129	0.0049	fifth	4871	0.00488971293138842
12319	2869	1	4327	2137117	142388	9	0	22.9212148149668	0.0043	fifth	4330	0.00434663457050131
12356	4232	1	186	67330	5576	9	0	20.5073546003526	2e-04	fifth	187	0.000187718398310334
12426	4232	1	2805	1301873	96679	9	0	21.0938755248934	0.0028	fifth	2806	0.0028167798163572
