Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF299_ET002_D01.recal	HF299_ET002_D01.recal.bam	77711914	77679980	4075731736	4075203895	5725.0477	92	57.5315	0.0027	111.2664	99.9589072017966	HF299_ET002_D01	Yes
HF299_ET002_D01_3	HF299_ET002_D01_3.bam	44519892	44491918	2931818100	2931435439	5550.0634	93	57.5796	0.0027	80.0379	99.9371651665282	HF299_ET002_D01	No
HF299_ET002_D01_4	HF299_ET002_D01_4.bam	33705946	33683429	2211109554	2210817630	5133.2248	92	57.5758	0.003	60.3627	99.9331957631452	HF299_ET002_D01	No
HF299_RN001_D01.recal	HF299_RN001_D01.recal.bam	157194110	157100458	6388446713	6387829541	5975.4025	80	57.4342	0.0023	174.403	99.9404227041331	HF299_RN001_D01	Yes
HF299_RN001_D01_1	HF299_RN001_D01_1.bam	58037568	57977614	3621762684	3621403358	5052.0756	83	57.5339	0.0026	98.8732	99.8966979457168	HF299_RN001_D01	No
HF299_RN001_D01_2	HF299_RN001_D01_2.bam	52147690	52098935	3232867985	3232550457	5057.7094	81	57.532	0.0025	88.2565	99.9065059257658	HF299_RN001_D01	No
HF299_RN001_D01_3	HF299_RN001_D01_3.bam	47918264	47871181	2987034921	2986738303	5538.0201	82	57.5425	0.0026	81.5453	99.9017431015448	HF299_RN001_D01	No
HF328_ET001_D01.recal	HF328_ET001_D01.recal.bam	211031202	210910163	8065761151	8065074827	8121.3664	79	57.315	0.0027	220.1932	99.9426440266402	HF328_ET001_D01	Yes
HF328_ET001_D01_1	HF328_ET001_D01_1.bam	78008558	77937832	4848665595	4848244306	7285.2553	83	57.4302	0.0031	132.3673	99.9093355885389	HF328_ET001_D01	No
HF328_ET001_D01_2	HF328_ET001_D01_2.bam	70932894	70878399	4390054745	4389669632	6481.9114	82	57.4354	0.0029	119.8474	99.9231738662742	HF328_ET001_D01	No
HF328_ET001_D01_3	HF328_ET001_D01_3.bam	63920126	63866078	3973008424	3972659416	7460.2344	83	57.442	0.003	108.4621	99.9154444720588	HF328_ET001_D01	No
HF328_RN001_D01.recal	HF328_RN001_D01.recal.bam	194551914	194420336	7066142960	7065529192	7206.4589	76	57.3855	0.0022	192.9039	99.9323686941471	HF328_RN001_D01	Yes
HF328_RN001_D01_1	HF328_RN001_D01_1.bam	70362168	70279913	4312731982	4312342661	6377.6492	80	57.5107	0.0026	117.7365	99.8830976896562	HF328_RN001_D01	No
HF328_RN001_D01_2	HF328_RN001_D01_2.bam	68219112	68147848	4161477374	4161102752	6305.0655	79	57.5068	0.0024	113.6073	99.8955366056363	HF328_RN001_D01	No
HF328_RN001_D01_3	HF328_RN001_D01_3.bam	57563052	57499952	3524984505	3524667938	6415.1921	80	57.5187	0.0025	96.2312	99.8903810729146	HF328_RN001_D01	No
HF350_ET001_D01.recal	HF350_ET001_D01.recal.bam	249771340	249667035	10930096328	10929216389	19248.9434	98	57.4389	0.0025	298.3888	99.9582398044548	HF350_ET001_D01	Yes
HF350_ET001_D01_1	HF350_ET001_D01_1.bam	251454630	251309614	16349888685	16348556625	17803.8239	100	57.4701	0.0027	446.3478	99.9423291589421	HF350_ET001_D01	No
HF350_RN001_D01.recal	HF350_RN001_D01.recal.bam	245687929	245565518	9984777473	9983849055	17909.8512	97	57.5306	0.0023	272.5819	99.9501762253855	HF350_RN001_D01	Yes
HF350_RN001_D01_1	HF350_RN001_D01_1.bam	247320386	247143048	15975999470	15974495645	16477.7953	100	57.5714	0.0025	436.1407	99.9282962464728	HF350_RN001_D01	No
HF374_ET001_D02.recal	HF374_ET001_D02.recal.bam	275086583	274941540	13076271399	13074786659	8221.675	93	57.4506	0.0026	356.9566	99.9472736916435	HF374_ET001_D02	Yes
HF374_ET001_D02_1	HF374_ET001_D02_1.bam	167984620	167856144	11149068704	11147771542	7064.8521	95	57.5104	0.0025	304.3478	99.92351918884	HF374_ET001_D02	No
HF374_ET001_D02_2	HF374_ET001_D02_2.bam	108882122	108795911	7246984704	7246150710	7456.3028	95	57.5296	0.0032	197.8285	99.9208217121264	HF374_ET001_D02	No
HF374_RN001_D01.recal	HF374_RN001_D01.recal.bam	355893313	355625944	15944456987	15942834025	13389.6728	89	57.4433	0.0026	435.2525	99.9248738343111	HF374_RN001_D01	Yes
HF374_RN001_D01_1	HF374_RN001_D01_1.bam	207106562	206900248	13443564949	13442160533	11762.5819	90	57.5266	0.0024	366.983	99.9003826831909	HF374_RN001_D01	No
HF374_RN001_D01_2	HF374_RN001_D01_2.bam	151156144	150959683	9833813062	9832799497	12031.5445	90	57.5128	0.0035	268.4439	99.8700277773691	HF374_RN001_D01	No
HF388_ET001_D01.recal	HF388_ET001_D01.recal.bam	446592707	446386703	19059103537	19057769167	25274.5158	107	57.4369	0.0026	520.3087	99.9538720635669	HF388_ET001_D01	Yes
HF388_ET001_D01_1	HF388_ET001_D01_1.bam	450304136	449983366	29268539568	29266473301	23085.9341	108	57.4477	0.0028	799.0237	99.9287659218835	HF388_ET001_D01	No
HF388_ET002_D01.recal	HF388_ET002_D01.recal.bam	276370131	276208364	11961783559	11960663819	16027.7724	87	57.3731	0.0023	326.5333	99.9414672636964	HF388_ET002_D01	Yes
HF388_ET002_D01_1	HF388_ET002_D01_1.bam	278805494	278517669	17051058836	17049447857	14408.9198	87	57.3897	0.0025	465.4606	99.8967649468199	HF388_ET002_D01	No
HF388_RN001_D01.recal	HF388_RN001_D01.recal.bam	498305882	498054144	21777386814	21775523086	21511.5705	125	57.6775	0.0021	594.5171	99.9494812304865	HF388_RN001_D01	Yes
HF388_RN001_D01_1	HF388_RN001_D01_1.bam	501286898	500912838	32820945476	32818104422	20403.9168	126	57.677	0.0023	896.0034	99.9253800565121	HF388_RN001_D01	No
HF389_ET001_D01.recal	HF389_ET001_D01.recal.bam	382993526	382794227	17148097754	17146720908	25168.7569	104	57.4429	0.0028	468.1387	99.947962827967	HF389_ET001_D01	Yes
HF389_ET001_D01_1	HF389_ET001_D01_1.bam	146308278	146190002	9683689357	9682913849	23010.1864	106	57.5308	0.0031	264.3622	99.9191597347622	HF389_ET001_D01	No
HF389_ET001_D01_2	HF389_ET001_D01_2.bam	131771546	131678995	8714975568	8714268508	22302.9401	105	57.5446	0.003	237.9166	99.9297640478469	HF389_ET001_D01	No
HF389_ET001_D01_3	HF389_ET001_D01_3.bam	107686034	107608879	7126802626	7126222756	22999.818	106	57.5566	0.0031	194.5599	99.9283518975172	HF389_ET001_D01	No
HF389_RN001_D01.recal	HF389_RN001_D01.recal.bam	263686687	263521126	11591035746	11589929441	14975.0659	97	57.5393	0.0025	316.4323	99.9372129848937	HF389_RN001_D01	Yes
HF389_RN001_D01_1	HF389_RN001_D01_1.bam	98812906	98726793	6534259822	6533629043	13989.3002	99	57.6295	0.0028	178.3836	99.9128524769831	HF389_RN001_D01	No
HF389_RN001_D01_2	HF389_RN001_D01_2.bam	94223442	94149462	6214145491	6213539807	13048.0455	98	57.6292	0.0027	169.6446	99.9214845070084	HF389_RN001_D01	No
HF389_RN001_D01_3	HF389_RN001_D01_3.bam	72351156	72293966	4780078704	4779617324	13450.0114	99	57.6449	0.0027	130.4949	99.9209549602773	HF389_RN001_D01	No
HF390_ET001_D01.recal	HF390_ET001_D01.recal.bam	398852515	398633833	17317427392	17315879235	20529.0893	102	57.4279	0.0028	472.7613	99.9451722148474	HF390_ET001_D01	Yes
HF390_ET001_D01_1	HF390_ET001_D01_1.bam	151467488	151342790	10082020280	10081111727	18378.24	104	57.5212	0.0032	275.2366	99.9176734217709	HF390_ET001_D01	No
HF390_ET001_D01_2	HF390_ET001_D01_2.bam	140832120	140729461	9365477090	9364624937	17845.2729	104	57.5274	0.0031	255.6751	99.927105407488	HF390_ET001_D01	No
HF390_ET001_D01_3	HF390_ET001_D01_3.bam	109498132	109418067	7289465862	7288804568	18557.2415	104	57.5481	0.0031	199.0006	99.9268800311589	HF390_ET001_D01	No
HF390_RN001_D01.recal	HF390_RN001_D01.recal.bam	315515822	315311730	13169291749	13167911136	18876.047	103	57.5579	0.0025	359.5183	99.9353148128337	HF390_RN001_D01	Yes
HF390_RN001_D01_1	HF390_RN001_D01_1.bam	121637468	121526975	8048400765	8047548559	17292.4594	106	57.6482	0.0028	219.7193	99.9091620355004	HF390_RN001_D01	No
HF390_RN001_D01_2	HF390_RN001_D01_2.bam	108562398	108470734	7174537660	7173772353	16728.4619	105	57.657	0.0028	195.863	99.9155656086374	HF390_RN001_D01	No
